paper_id,title,authors,year,venue,doi,pmid,pmcid,arxiv_id,source,has_pdf,pdf_path,abstract_snippet,citation_count,is_open_access,collected_at
10.1126_science.1193975,Morphological affinities of the earliest modern humans,,2010,,10.1126/science.1193975,20378817,,,,no,,,,,2026-03-18T20:48:05.808278
10.1038_nature12886,The complete genome sequence of a Neanderthal from the Altai Mountains,,2014,,10.1038/nature12886,24352235,,,,no,,,,,2026-03-18T20:48:25.026117
10.1101_2025.06.24.660721,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,"Kumar, Kiran H. | Rubinacci, Simone | Zӧllner, Sebastian",2025,bioRxiv,10.1101/2025.06.24.660721,,PMC12262289,,PMC,yes,data/raw/metaglimpse_meta_imputation_of_low_coverage_sequencing_data_.pdf,"The advent of efficient and accurate imputation for low coverage sequencing offers an unbiased alternative to SNP array imputation, increasing the accuracy of rare variant imputation across all populations. Since imputation accuracy generally increases with larger reference panels and closer ancestr…",,,2026-03-18T20:48:31.832818
10.7554_elife.09560,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.","Berger, Lee R | Hawks, John | de Ruiter, Darryl J | Churchill, Steven E | Schmid, Peter | Delezene, Lucas K | Kivell, Tracy L | Garvin, Heather M | Williams, Scott A | DeSilva, Jeremy M | Skinner, Matthew M | Musiba, Charles M | Cameron, Noel | Holliday, Trenton W | Harcourt-Smith, William | Ackermann, Rebecca R | Bastir, Markus | Bogin, Barry | Bolter, Debra | Brophy, Juliet | Cofran, Zachary D | Congdon, Kimberly A | Deane, Andrew S | Dembo, Mana | Drapeau, Michelle | Elliott, Marina C | Feuerriegel, Elen M | Garcia-Martinez, Daniel | Green, David J | Gurtov, Alia | Irish, Joel D | Kruger, Ashley | Laird, Myra F | Marchi, Damiano | Meyer, Marc R | Nalla, Shahed | Negash, Enquye W | Orr, Caley M | Radovcic, Davorka | Schroeder, Lauren | Scott, Jill E | Throckmorton, Zachary | Tocheri, Matthew W | VanSickle, Caroline | Walker, Christopher S | Wei, Pianpian | Zipfel, Bernhard",2015,eLife,10.7554/elife.09560,26354291,PMC4559886,,EuropePMC,yes,data/raw/homo_naledi_a_new_species_of_the_genus_homo_from_the_dinaled_pmc.pdf,"Homo naledi is a previously-unknown species of extinct hominin discovered within the Dinaledi Chamber of the Rising Star cave system, Cradle of Humankind, South Africa. This species is characterized by body mass and stature similar to small-bodied human populations but a small endocranial volume sim…",164,True,2026-03-18T20:48:40.061865
10.1073_pnas.1511220112,Fossil hominin shoulders support an African ape-like last common ancestor of humans and chimpanzees.,"Young, Nathan M | Capellini, Terence D | Roach, Neil T | Alemseged, Zeresenay",2015,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1511220112,26351685,PMC4586873,,EuropePMC,yes,data/raw/fossil_hominin_shoulders_support_an_african_ape_like_last_co_pmc.pdf,"Reconstructing the behavioral shifts that drove hominin evolution requires knowledge of the timing, magnitude, and direction of anatomical changes over the past ∼6-7 million years. These reconstructions depend on assumptions regarding the morphotype of the Homo-Pan last common ancestor (LCA). Howeve…",46,False,2026-03-18T20:48:45.076267
10.1038_nature12961,The genomic landscape of Neanderthal ancestry in present-day humans.,"Sankararaman, Sriram | Mallick, Swapan | Dannemann, Michael | Prüfer, Kay | Kelso, Janet | Pääbo, Svante | Patterson, Nick | Reich, David",2014,Nature,10.1038/nature12961,24476815,PMC4072735,,EuropePMC,yes,data/raw/the_genomic_landscape_of_neanderthal_ancestry_in_present_day_pmc.pdf,"Genomic studies have shown that Neanderthals interbred with modern humans, and that non-Africans today are the products of this mixture. The antiquity of Neanderthal gene flow into modern humans means that genomic regions that derive from Neanderthals in any one human today are usually less than a h…",664,True,2026-03-18T20:48:49.984796
10.1126_science.1188021,A draft sequence of the Neandertal genome.,"Green, Richard E | Krause, Johannes | Briggs, Adrian W | Maricic, Tomislav | Stenzel, Udo | Kircher, Martin | Patterson, Nick | Li, Heng | Zhai, Weiwei | Fritz, Markus Hsi-Yang | Hansen, Nancy F | Durand, Eric Y | Malaspinas, Anna-Sapfo | Jensen, Jeffrey D | Marques-Bonet, Tomas | Alkan, Can | Prüfer, Kay | Meyer, Matthias | Burbano, Hernán A | Good, Jeffrey M | Schultz, Rigo | Aximu-Petri, Ayinuer | Butthof, Anne | Höber, Barbara | Höffner, Barbara | Siegemund, Madlen | Weihmann, Antje | Nusbaum, Chad | Lander, Eric S | Russ, Carsten | Novod, Nathaniel | Affourtit, Jason | Egholm, Michael | Verna, Christine | Rudan, Pavao | Brajkovic, Dejana | Kucan, Željko | Gušic, Ivan | Doronichev, Vladimir B | Golovanova, Liubov V | Lalueza-Fox, Carles | de la Rasilla, Marco | Fortea, Javier | Rosas, Antonio | Schmitz, Ralf W | Johnson, Philip L F | Eichler, Evan E | Falush, Daniel | Birney, Ewan | Mullikin, James C | Slatkin, Montgomery | Nielsen, Rasmus | Kelso, Janet | Lachmann, Michael | Reich, David | Pääbo, Svante",2010,"Science (New York, N.Y.)",10.1126/science.1188021,20448178,PMC5100745,,EuropePMC,yes,data/raw/a_draft_sequence_of_the_neandertal_genome_pmc.pdf,"Neandertals, the closest evolutionary relatives of present-day humans, lived in large parts of Europe and western Asia before disappearing 30,000 years ago. We present a draft sequence of the Neandertal genome composed of more than 4 billion nucleotides from three individuals. Comparisons of the Nea…",2383,False,2026-03-18T20:48:58.239467
pmid_20028723,Removal of deaminated cytosines and detection of in vivo methylation in ancient DNA.,Briggs AW | Stenzel U | Meyer M | Krause J | Kircher M | Paabo S.,2009,Nucleic Acids Res,,20028723,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.652644
pmid_22936568,A high-coverage genome sequence from an archaic Denisovan individual.,Meyer M | Kircher M | Gansauge MT | Li H | Racimo F | Mallick S | Schraiber JG | Jay F | Prufer K | de Filippo C | Sudmant PH | Alkan C | Fu Q | Do R | Rohland N | Tandon A | Siebauer M | Green RE | Bryc K | Briggs AW | Stenzel U | Dabney J | Shendure J | Kitzman J | Hammer MF | Shunkov MV | Derevianko AP | Patterson N | Andres AM | Eichler EE | Slatkin M | Reich D | Kelso J | Paabo S.,2012,Science,,22936568,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.652738
pmid_22042846,Archaic human ancestry in East Asia.,Skoglund P | Jakobsson M.,2011,Proc Natl Acad Sci U S A,,22042846,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.652759
