paper_id,title,authors,year,journal,source,doi,pmcid,pmid,arxiv_id,biorxiv_id,url,has_pdf,pdf_url,reference_count,grobid_processed,file_size_mb,local_pdf_path,grobid_xml_path,date_added
d21577a55c83,Evolving a Field: Can Evolutionary Theory Provide What the Study of Human Evolution Requires?,"Roseman CC, Auerbach BM.",2025,,EuropePMC,10.1002/ajpa.70127,PMC12842895,41591900,,,https://doi.org/10.1002/ajpa.70127,False,https://europepmc.org/articles/PMC12842895/pdf,0,False,0,,,2026-03-16T18:30:46.273337
4cb4ef29ef40,Dark skin and cancer suppression in humans—an evolutionary spandrel?,,2026,,EuropePMC,,PMC12849816,,,,https://europepmc.org/articles/PMC12849816/pdf,False,https://europepmc.org/articles/PMC12849816/pdf,0,False,0,,,2026-03-16T18:30:46.273396
064321d3e06b,Genome wide signals of pervasive positive selection in human evolution,David Enard; Philipp W. Messer; Dmitri Petrov,2013,arXiv (q-bio),arXiv,,,,1308.4951v1,,https://arxiv.org/pdf/1308.4951v1,True,https://arxiv.org/pdf/1308.4951v1,0,False,0.73,data/raw/Enard_2013_Genome_wide_signals_of_pervasive.pdf,,2026-03-16T18:30:46.996981
5812e3485fcb,Selection for smaller brains in Holocene human evolution,John Hawks,2011,arXiv (q-bio),arXiv,,,,1102.5604v1,,https://arxiv.org/pdf/1102.5604v1,True,https://arxiv.org/pdf/1102.5604v1,0,False,0.19,data/raw/Hawks_2011_Selection_for_smaller_brains_in.pdf,,2026-03-16T18:30:46.997204
f05d1c4eec97,On the importance of being structured: instantaneous coalescence rates and a re-evaluation of human evolution,Olivier Mazet; Willy Rodríguez; Simona Grusea; Simon Boitard; Lounès Chikhi,2015,arXiv (q-bio),arXiv,,,,1511.02778v1,,https://arxiv.org/pdf/1511.02778v1,True,https://arxiv.org/pdf/1511.02778v1,0,False,1.29,data/raw/Mazet_2015_On_the_importance_of_being.pdf,,2026-03-16T18:30:46.997309
3331fff645f8,Environmental Disorder Regulation of Invasion and Genetic Loss,Youness Azimzade; Mahdi Sasar; Víctor M. Pérez García,2019,arXiv (q-bio),arXiv,,,,1908.02532v1,,https://arxiv.org/pdf/1908.02532v1,True,https://arxiv.org/pdf/1908.02532v1,0,False,1.1,data/raw/Azimzade_2019_Environmental_Disorder_Regulation_of_Invasion.pdf,,2026-03-16T18:30:46.997391
04944e661d76,"Functional morphology, stable isotopes, and human evolution: a model of consilience",Justin D. Yeakel; Nathaniel J. Dominy; Paul L. Koch; Marc Mangel,2012,arXiv (q-bio),arXiv,,,,1211.4933v3,,https://arxiv.org/pdf/1211.4933v3,True,https://arxiv.org/pdf/1211.4933v3,0,False,4.11,data/raw/Yeakel_2012_Functional_morphology_stable_isotopes_and.pdf,,2026-03-16T18:30:46.997558
acd7393121a3,The Neolithic Transition in Europe at 50 Years,Albert Ammerman,2020,arXiv (q-bio),arXiv,,,,2012.11713v2,,https://arxiv.org/pdf/2012.11713v2,True,https://arxiv.org/pdf/2012.11713v2,0,False,1.57,data/raw/Ammerman_2020_The_Neolithic_Transition_in_Europe.pdf,,2026-03-16T18:30:46.997624
6255795217ba,"Sustainability, behavior patterns and crises",R. Vilela Mendes,2025,arXiv (q-bio),arXiv,,,,2507.00892v1,,https://arxiv.org/pdf/2507.00892v1,True,https://arxiv.org/pdf/2507.00892v1,0,False,0.49,data/raw/Mendes_2025_Sustainability_behavior_patterns_and_crises.pdf,,2026-03-16T18:30:46.997707
63d0294642c4,"Paul Alsberg (1883-1965) et le transfert adaptatif du biologique au technique : un précurseur de la ""cultural niche construction"" ?",Gérald Fournier,2008,arXiv (q-bio),arXiv,,,,0812.1864v1,,https://arxiv.org/pdf/0812.1864v1,True,https://arxiv.org/pdf/0812.1864v1,0,False,0.24,data/raw/Fournier_2008_Paul_Alsberg_et_le_transfert.pdf,,2026-03-16T18:30:46.997795
