paper_id,title,year,citations_count,cites_count
d21577a55c83,Evolving a Field: Can Evolutionary Theory Provide What the Study of Human Evolution Requires?,2025,2,2
4cb4ef29ef40,Dark skin and cancer suppression in humans—an evolutionary spandrel?,2026,2,2
064321d3e06b,Genome wide signals of pervasive positive selection in human evolution,2013,4,2
5812e3485fcb,Selection for smaller brains in Holocene human evolution,2011,2,2
f05d1c4eec97,On the importance of being structured: instantaneous coalescence rates and a re-evaluation of human evolution,2015,2,3
3331fff645f8,Environmental Disorder Regulation of Invasion and Genetic Loss,2019,2,1
04944e661d76,"Functional morphology, stable isotopes, and human evolution: a model of consilience",2012,2,2
acd7393121a3,The Neolithic Transition in Europe at 50 Years,2020,3,1
6255795217ba,"Sustainability, behavior patterns and crises",2025,2,3
63d0294642c4,"Paul Alsberg (1883-1965) et le transfert adaptatif du biologique au technique : un précurseur de la ""cultural niche construction"" ?",2008,3,4
b11e62220db6,Distilling the Essence of an Evolutionary Process and Implications for a Formal Description of Culture,2013,2,3
11e9455c454e,"Meaning-making behavior in a small-brained hominin, &lt;i&gt;Homo naledi&lt;/i&gt;, from the late Pleistocene: contexts and evolutionary implications.",2025,3,4
274cff404a4f,"An initial report of circa 241,000- to 335,000-year-old rock engravings and their relation to &lt;i&gt;Homo naledi&lt;/i&gt; in the Rising Star cave system, South Africa.",2025,2,1
165d5ac6509e,Evidence for deliberate burial of the dead by &lt;i&gt;Homo naledi&lt;/i&gt;.,2025,2,4
baa27779bde9,Phalangeal cortical bone distribution reveals different dexterous and climbing behaviors in &lt;i&gt;Australopithecus sediba&lt;/i&gt; and &lt;i&gt;Homo naledi&lt;/i&gt;.,2025,5,4
8b17d361c137,Stiffness of the human foot and evolution of the transverse arch,2017,5,3
216e9a2b1cbf,SAI: A Python Package for Statistics for Adaptive Introgression.,2025,0,4
00fc2c1b36f5,"Recurrent gene flow between Neanderthals and modern humans over the past 200,000 years.",2024,3,1
e2e1dbf23a1f,Association of Chromosome 3p21.32 Haplotype Blocks Introgressed from Neanderthals with Critical COVID-19 in a Spanish Cohort.,2025,2,4
e79957e22fc8,Human dispersal into East Eurasia: ancient genome insights and the need for research on physiological adaptations.,2025,4,3
70ed9c8f137c,Recent advances in methods to characterize archaic introgression in modern humans.,2026,1,4
5ff55e0ab306,Introgressed mitochondrial fragments from archaic hominins alter nuclear genome function in modern humans.,2026,3,2
dd2dc8ca7043,Inferences about fossil hominin locomotion through 3D morphometric analysis of wrist ligament insertion sites.,2025,4,1
f520790667ac,An identity for the inscrutable Homo habilis.,2026,0,4
c164e6523589,The StW 573 Little Foot Fossil Should Not Be Attributed to Australopithecus prometheus.,2025,4,4
201213675655,"New discoveries of Australopithecus and Homo from Ledi-Geraru, Ethiopia.",2026,4,2
6485143b99a3,Testing the taxonomy of Dmanisi hominin fossils through dental crown area.,2025,5,1
c8538f032471,Earliest evidence of hominin bipedalism in &lt;i&gt;Sahelanthropus tchadensis&lt;/i&gt;.,2026,3,1
884ede58a460,The speciation of Australopithecus and Paranthropus was caused by introgression from the Gorilla lineage,2018,1,3
6f88a2ae7849,Hominin evolution was caused by introgression from Gorilla,2018,2,4
